,Date,User,Tweet
0,2019-03-30 17:32:30+00:00,ironorehopper,"#HK, Suspected #MERS #Coronavirus case reported (CHP, Mar. 30 ‘19) https://t.co/BkjIZUP65o on @bloglovin"
1,2019-03-30 16:08:44+00:00,ironorehopper,"#HK, Suspected #MERS #Coronavirus case reported (CHP, Mar. 30 ‘19) https://t.co/TqjnERK5I8"
2,2019-03-29 18:14:09+00:00,ironorehopper,Middle East respiratory syndrome #coronavirus (#MERS-CoV) – #Saudi Arabia... https://t.co/pAnOeqE7Da on @bloglovin
3,2019-03-29 17:14:30+00:00,ironorehopper,"Two New #MERS #Coronavirus Cases reported by #Saudi Arabia (MoH, March 29 '19) https://t.co/Zx2DWeIQQ1 on @bloglovin"
4,2019-03-29 17:08:26+00:00,ironorehopper,"Middle East respiratory syndrome #coronavirus (#MERS-CoV) – #Saudi Arabia (@WHO, Mar. 29 ‘19) https://t.co/BtT0BRS8Mw"
5,2019-03-29 16:20:46+00:00,ironorehopper,"Two New #MERS #Coronavirus Cases reported by #Saudi Arabia (MoH, March 29 '19) https://t.co/l5H7XFAtuG"
6,2019-03-28 14:28:42+00:00,MarkDan65745623,"Register: https://t.co/AIOieRPhka 
Attend our Euro Virology Conference at Valencia, Spain during July 01-02, 2019. 
#virus #microbiology #research #viralepidemiology #filoviruses #coronavirus #hantavirus #enteroviruses #rnavirus #rabiesvirus"
7,2019-03-28 14:00:34+00:00,BioFireDX,"Respiratory season isn’t over yet! #Influenza A is still on the rise—the H1-2009 strain may be down, but H3 is picking up the slack with the help of #Coronavirus. See the latest real-time pathogen data from BioFire® Syndromic Trends at https://t.co/FJr4HZIGWO #SyndromicTrends https://t.co/PSN0GAOgA0"
8,2019-03-28 11:23:16+00:00,EVirusBioinfC,Coffee break after a first great session about #coronavirus host interactions and virus-host-coinfection at the #EVBC2019 in #glasgow! https://t.co/MaTNzpErkL
9,2019-03-28 09:43:08+00:00,ironorehopper,"Two New #MERS #Coronavirus Cases reported by #Saudi Arabia (MoH, March 28 '19) https://t.co/9laAaAL9OJ on @bloglovin"
10,2019-03-28 09:09:06+00:00,ironorehopper,"Two New #MERS #Coronavirus Cases reported by #Saudi Arabia (MoH, March 28 '19) https://t.co/Ewq2toUo5H"
11,2019-03-27 16:24:15+00:00,ironorehopper,"Two New #MERS #Coronavirus Cases reported by #Saudi Arabia (MoH, March 27 '19) https://t.co/TC8SRhjxow on @bloglovin"
12,2019-03-27 15:55:28+00:00,ironorehopper,"Two New #MERS #Coronavirus Cases reported by #Saudi Arabia (MoH, March 27 '19) https://t.co/INVmtj4vO9"
